,Atölye-İşlik,BTSınıfı,Bahçe,Bağlantı,BilimselEtkinlikler,DersBaşlamaveBitiş,Derslik,FenLabaratuarı,FenLaboratuarı,HazırlıkSınıfı,IsınmaŞekli,Kantin,KonferansSalonu,KontenjanBilgileri,Kütüphane,LojmanBilgisi,LojmanSayısı,Misafirhane,MüzikSınıfı,OkulunYGS/LYSBaşarıDurumu,PansiyonBilgisi,ProjeÇalışmaları,RehberÖğretmen,ResimSınıfı,Revir,ServisBilgisi,SporSalonu,SportifEtkinlikler,Taban-TavanPuanBilgileri,YABANCIDIL,Yemekhane,YurtdışıProjeFaaliyetleri,adres,isim,semt,Öğrenci,ÖğretimŞekli,Öğretmen,İlveİlçeMerkezineUzaklık,url
,0,0,0,,,,16,1,,0,,0,0,,0,,,0,,,,,,,0,,0,,,,0,,,-100 yıl ali rıza efendi ortaokulu,KARTAL,320,Normal,26,,http://100yilareortaokulu.meb.k12.tr/meb_iys_dosyalar/34/14/741234/okulumuz_hakkinda.html
,8,0,1,,,,47,1,,0,,1,1,,1,,,0,1,,,,3,1,0,,1,,,,0,,Telsiz Mah. Balıklı Kazlıçeşme Yolu No33 Zeytinburnu/İstanbul ,-100. yıl mesleki ve teknik anadolu lisesi,ZEYTİNBURNU,1758,Tekli,95,,http://100yilmtal.meb.k12.tr/meb_iys_dosyalar/34/24/215809/okulumuz_hakkinda.html
,0,0,1,,,,16,0,,0,,1,1,,1,,,0,0,,,,1,0,0,,0,,,,1,,Balmumcu Mah. Gazi Umur Paşa Sk. No 40 Beşiktaş / İSTANBUL ,-100 yıl mustafa kemal i̇lkokulu,BEŞİKTAŞ,436,OkulumuzdaTekli(Normal)eğitimuygulanmaktadır.,21,,http://100yilmustafakemalilkokulu.meb.k12.tr/meb_iys_dosyalar/34/03/733360/okulumuz_hakkinda.html
,0,1,1,,,,16,1,,0,,1,1,,1,,,0,0,,,,1,0,0,,0,,,,1,,,-23 nisan zehra hanım i̇mam hatip ortaokulu,KADIKÖY,437,TEKLİ,27,,http://23nisan-zehrahanim.meb.k12.tr/meb_iys_dosyalar/34/12/734573/okulumuz_hakkinda.html
,0,0,0,ADSL(1Mbit),,07:10-18:00,20,,0,0,DOĞALGAZ,0,0,,0,,0,0,,,,,,,0,,0,,,,0,,,-23 nisan kaptanoğlu i̇lkokulu,ÜMRANİYE,1600,İKİLİEĞİTİM,46,3km,http://23nisankaptanoglu.meb.k12.tr/meb_iys_dosyalar/34/21/384997/okulumuz_hakkinda.html
,0,0,0,,,,19,1,,0,,0,1,,1,,,0,,,,,,,0,,0,,,,1,,Bayar Cad. Yusuf Baha Gürcan Sk. No2  Kozyatağı Kadıköy,-30 ağustos i̇lkokulu,KADIKÖY,465,TAMGÜN,24,,http://30agustosilkokulu.meb.k12.tr/meb_iys_dosyalar/34/12/741647/okulumuz_hakkinda.html
,0,1,0,,,,24,0,,0,,0,1,,1,,,0,,,,,,,0,,0,,,,0,,Salacak Mahallesi Köprülü Konak Sokak No7 ÜSKÜDAR / İSTANBUL,-3 selim i̇lkokulu,ÜSKÜDAR,560,Tekli,26,,http://3selimilkokulu.meb.k12.tr/meb_iys_dosyalar/34/22/736395/okulumuz_hakkinda.html
,1,1,0,,,,46,1,,0,,0,1,,1,,,0,,,,,,,0,,1,,,,1,,A.Nafiz Gürman Mah. A. Kutsi Tecer Cad. No23 34170 Güngören,-50. yıl ahmet merter i̇lkokulu,GÜNGÖREN,1597,NORMALÖĞRETİM,54,,http://50yilahmetmerter.meb.k12.tr/meb_iys_dosyalar/34/29/731262/okulumuz_hakkinda.html
,0,1,0,,,,19,0,,0,,0,1,,0,,,0,,,,,,,0,,0,,,,0,,,-50 yıl i̇lkokulu,SULTANGAZİ,1000,ikili,27,,http://50yililkokulusultangazi.meb.k12.tr/meb_iys_dosyalar/34/41/737886/okulumuz_hakkinda.html
,0,2,0,,,,30,0,,0,,0,1,,1,,,0,,,,,,,0,,1,,,,1,,Acıbadem Mah. Emek Sok. No3 / Kadıköy İSTANBUL,-60 yıl anadolu i̇lkokulu,KADIKÖY,758,Tekli,38,,http://60yilanadoluilkokulu.meb.k12.tr/meb_iys_dosyalar/34/12/741643/okulumuz_hakkinda.html
